V1,ZmRoot,ZmSAM,ZmPAN,,,
AC203966.5_FG003,3677,0,0,,,
AC203966.5_FG005,4508,0,7,,,
AC203972.3_FG001,1012,0,0,,,
AC203972.3_FG003,2748,0,0,,,
AC203985.4_FG001,2749,0,0,,,
AC203985.4_FG005,1542,0,5,,,
AC203989.4_FG001,10,0,8,,,
AC204007.3_FG008,0,1,14,,,
AC204048.3_FG002,232,0,0,,,
AC204050.4_FG006,7,0,0,,,
AC204070.3_FG004,0,0,1,,,
AC204212.4_FG001,0,0,4,,,
AC204254.3_FG001,2,0,0,,,
AC204271.3_FG003,4307,0,0,,,
AC204277.3_FG006,190,0,1,,,
AC204292.4_FG002,2459,0,0,,,
AC204292.4_FG003,677,0,2,,,
AC204311.4_FG004,8,0,0,,,
AC204359.3_FG005,585,81,183,,,
AC204472.3_FG002,38,0,0,,,
AC204502.4_FG006,4526,0,0,,,
AC204515.4_FG006,331,0,0,,,
AC204530.4_FG002,345,0,1,,,
AC204530.4_FG006,2,0,3,,,
AC204539.4_FG002,618,4,6,,,
AC204539.4_FG003,350,0,0,,,
AC204604.3_FG008,56,0,0,,,
AC204611.4_FG001,13,0,0,,,
AC204641.5_FG001,42,0,0,,,
AC204710.4_FG003,4537,0,0,,,
AC204711.3_FG002,4539,0,721,,,
AC204711.3_FG003,10,0,0,,,
AC204712.3_FG002,4,245,2,,,
AC204717.3_FG005,2777,0,0,,,
AC204763.2_FG001,0,4,0,,,
AC204868.3_FG004,237,0,0,,,
AC204891.4_FG001,69,0,0,,,
AC204953.3_FG002,977,0,0,,,
AC205008.4_FG002,1776,4,0,,,
AC205033.4_FG004,0,43,0,,,
AC205035.3_FG004,4549,0,0,,,
AC205057.3_FG002,5,4,2,,,
AC205057.3_FG004,752,0,0,,,
AC205077.3_FG003,2787,691,46,,,
AC205122.4_FG003,1806,702,70,,,
AC205122.4_FG010,195,0,0,,,
AC205154.3_FG005,2790,0,0,,,
AC205274.3_FG001,1139,0,8,,,
AC205320.3_FG004,3,0,44,,,
AC205326.3_FG002,4560,6,1,,,
AC205362.4_FG002,962,0,41,,,
AC205376.4_FG003,2796,0,0,,,
AC205376.4_FG008,2798,0,0,,,
AC205413.4_FG001,1142,0,383,,,
AC205413.4_FG002,118,0,0,,,
AC205413.4_FG003,10,0,0,,,
AC205419.3_FG001,2,6,1,,,
AC205425.3_FG006,1025,0,0,,,
AC205471.4_FG003,2805,703,0,,,
AC205471.4_FG007,9,0,97,,,
AC205502.4_FG004,0,5,0,,,
AC205521.3_FG003,2,340,3,,,
AC205574.3_FG006,5,0,2,,,
AC205592.3_FG001,4605,0,0,,,
AC205608.4_FG004,11,0,7,,,
AC205664.3_FG001,0,701,0,,,
AC205673.3_FG006,15,0,0,,,
AC205677.3_FG001,58,11,1,,,
AC205703.4_FG001,1018,0,0,,,
AC205703.4_FG002,4609,36,0,,,
AC205703.4_FG005,3987,0,1,,,
AC205703.4_FG006,9,704,50,,,
AC205703.4_FG010,8,75,1,,,
AC205712.3_FG003,1555,0,0,,,
AC205725.3_FG010,1829,705,0,,,
AC205730.3_FG002,8,0,1,,,
AC205735.3_FG006,1830,0,0,,,
AC205886.3_FG001,515,0,0,,,
AC205982.3_FG014,49,40,0,,,
AC206030.4_FG001,0,0,2,,,
AC206165.3_FG007,1837,0,0,,,
AC206165.3_FG009,155,0,0,,,
AC206165.3_FG019,1,0,0,,,
AC206198.3_FG001,0,0,415,,,
AC206201.3_FG004,0,0,732,,,
AC206223.3_FG001,1153,0,0,,,
AC206223.3_FG006,4505,707,0,,,
AC206223.3_FG007,2836,0,0,,,
AC206223.3_FG008,1525,0,0,,,
AC206223.3_FG010,2,47,5,,,
AC206259.3_FG002,1844,0,0,,,
AC206259.3_FG003,1,464,1,,,
AC206332.3_FG005,2846,0,0,,,
AC206350.3_FG005,2,0,3,,,
AC206425.3_FG002,4659,0,734,,,
AC206582.2_FG002,611,2,6,,,
AC206642.4_FG001,3,3,5,,,
AC206764.4_FG001,1159,0,0,,,
AC206764.4_FG003,1022,0,0,,,
AC206768.3_FG005,5,0,0,,,
AC206788.3_FG008,2847,0,0,,,
AC206788.3_FG015,4246,18,8,,,
AC206840.3_FG002,1046,0,0,,,
AC206901.3_FG005,7,0,3,,,
AC206951.3_FG016,1601,0,0,,,
AC206951.3_FG017,5,22,2,,,
AC206968.3_FG003,208,37,739,,,
AC206989.4_FG002,1,0,685,,,
AC207043.3_FG002,1165,0,13,,,
AC207225.3_FG003,200,0,0,,,
AC207260.3_FG003,0,40,0,,,
AC207265.3_FG002,2,130,0,,,
AC207328.3_FG003,110,0,0,,,
AC207342.3_FG007,122,15,0,,,
AC207342.3_FG008,9,49,2,,,
AC207347.3_FG005,76,0,3,,,
AC207427.3_FG005,284,0,1,,,
AC207533.2_FG002,5,695,0,,,
AC207628.4_FG003,3,0,0,,,
AC207628.4_FG005,190,0,0,,,
AC207628.4_FG009,2857,469,740,,,
AC207628.4_FG010,474,151,0,,,
AC207628.4_FG011,2,50,1,,,
AC207652.3_FG001,1,0,1,,,
AC207656.3_FG002,5,0,2,,,
AC207722.2_FG009,1169,2,4,,,
AC207755.3_FG005,4562,0,2,,,
AC207756.3_FG001,745,0,0,,,
AC207890.3_FG002,3,36,1,,,
AC208023.3_FG001,3,0,5,,,
AC208031.3_FG002,2,0,0,,,
AC208031.3_FG005,1100,0,0,,,
AC208110.2_FG001,271,0,0,,,
AC208110.2_FG006,4,10,743,,,
AC208110.2_FG007,2866,713,2,,,
AC208113.3_FG005,0,4,0,,,
AC208113.3_FG009,1865,0,0,,,
AC208201.3_FG001,2,0,0,,,
AC208201.3_FG002,7,0,13,,,
AC208201.3_FG003,18,0,3,,,
AC208204.3_FG006,133,470,11,,,
AC208217.3_FG001,2869,0,0,,,
AC208221.3_FG002,69,0,0,,,
AC208327.4_FG002,78,0,0,,,
AC208327.4_FG003,3,3,10,,,
AC208327.4_FG006,111,0,2,,,
AC208341.4_FG005,5,472,424,,,
AC208341.4_FG006,15,0,0,,,
AC208346.3_FG004,3728,335,1,,,
AC208358.3_FG005,526,0,0,,,
AC208436.3_FG007,4,0,0,,,
AC208440.3_FG003,1,0,1,,,
AC208458.3_FG011,608,0,0,,,
AC208521.3_FG002,1709,0,0,,,
AC208559.3_FG003,1617,0,0,,,
AC208571.4_FG001,1,0,4,,,
AC208711.3_FG005,4765,0,0,,,
AC208724.3_FG001,2733,0,0,,,
AC208892.3_FG005,710,0,0,,,
AC208897.3_FG003,252,0,0,,,
AC208897.3_FG004,7,2,0,,,
AC208905.3_FG004,1177,0,0,,,
AC208916.3_FG003,1178,0,0,,,
AC209050.3_FG003,7,0,0,,,
AC209080.3_FG004,2886,0,0,,,
AC209206.3_FG011,351,115,1,,,
AC209208.3_FG001,780,0,1,,,
AC209208.3_FG002,2,16,23,,,
AC209208.3_FG003,2889,0,0,,,
AC209208.3_FG005,3,228,0,,,
AC209213.4_FG002,1597,0,0,,,
AC209242.3_FG003,1059,0,15,,,
AC209257.4_FG006,713,0,0,,,
AC209257.4_FG008,5,241,2,,,
AC209332.3_FG011,2859,0,0,,,
AC209374.4_FG002,2894,2,2,,,
AC209377.3_FG003,0,18,17,,,
AC209460.3_FG002,8,0,1,,,
AC209626.2_FG013,1690,0,0,,,
AC209636.2_FG003,763,0,2,,,
AC209664.3_FG002,2,81,90,,,
AC209705.3_FG004,589,6,1,,,
AC209739.3_FG003,1,0,0,,,
AC209768.3_FG016,0,0,750,,,
AC209784.3_FG007,4722,0,11,,,
AC209784.3_FG011,1884,0,0,,,
AC209819.3_FG005,2,0,3,,,
AC209819.3_FG009,2,0,0,,,
AC209819.3_FG012,708,3,0,,,
AC209835.4_FG004,2901,0,7,,,
AC209845.4_FG010,1887,0,0,,,
AC209858.4_FG002,3,9,1,,,
AC209858.4_FG004,5,0,1,,,
AC209877.3_FG002,1476,0,1,,,
AC209898.2_FG004,4792,0,0,,,
AC209987.4_FG002,0,262,29,,,
AC209987.4_FG010,0,0,11,,,
AC210003.2_FG004,4,0,2,,,
AC210003.2_FG015,2910,0,0,,,
AC210009.3_FG008,86,0,0,,,
AC210013.4_FG002,426,0,0,,,
AC210013.4_FG003,2912,0,0,,,
AC210013.4_FG005,4197,0,0,,,
AC210013.4_FG006,1191,0,0,,,
AC210013.4_FG008,3876,0,1,,,
AC210013.4_FG009,1,0,0,,,
AC210013.4_FG011,0,263,0,,,
AC210013.4_FG012,1894,0,0,,,
AC210013.4_FG013,4804,0,0,,,
AC210013.4_FG014,1,0,0,,,
AC210013.4_FG016,4232,0,2,,,
AC210013.4_FG017,1427,0,0,,,
AC210013.4_FG018,1194,2,4,,,
AC210013.4_FG019,3,96,5,,,
AC210023.3_FG014,8,0,1,,,
AC210023.3_FG015,5,0,1,,,
AC210027.3_FG003,2873,0,0,,,
AC210158.3_FG004,94,0,0,,,
AC210163.3_FG005,7,0,0,,,
AC210168.4_FG003,1902,0,0,,,
AC210169.3_FG002,0,0,1,,,
AC210173.4_FG002,8,13,1,,,
AC210173.4_FG005,5,0,3,,,
AC210193.4_FG002,213,14,2,,,
AC210199.4_FG003,4827,5,0,,,
AC210204.3_FG002,1571,0,13,,,
AC210303.3_FG001,1204,353,6,,,
AC210314.3_FG006,30,0,0,,,
AC210517.3_FG003,2,194,24,,,
AC210529.3_FG004,4846,5,0,,,
AC210595.3_FG004,1910,266,0,,,
AC210616.4_FG003,2935,0,0,,,
AC210659.3_FG008,370,0,0,,,
AC210669.3_FG001,1441,0,13,,,
AC210731.3_FG002,1914,0,0,,,
AC210816.3_FG006,1581,0,0,,,
AC210892.4_FG006,4852,0,0,,,
AC211164.5_FG003,465,0,0,,,
AC211164.5_FG004,2,721,0,,,
AC211175.3_FG005,2,722,186,,,
AC211178.3_FG004,182,0,0,,,
AC211190.4_FG004,2423,0,0,,,
AC211276.4_FG008,2,0,11,,,
AC211327.4_FG005,17,155,397,,,
AC211349.4_FG001,30,2,6,,,
AC211357.4_FG004,1747,0,0,,,
AC211359.2_FG002,2944,0,0,,,
AC211390.3_FG001,1111,0,1,,,
AC211394.4_FG004,2,204,0,,,
AC211401.4_FG003,1,723,755,,,
AC211478.3_FG004,342,0,0,,,
AC211532.3_FG001,739,0,0,,,
AC211652.4_FG001,162,0,2,,,
AC211652.4_FG002,1920,0,0,,,
AC211737.3_FG012,33,34,1,,,
AC211892.4_FG002,480,0,1,,,
AC211910.4_FG005,47,0,0,,,
AC212023.4_FG004,0,0,2,,,
AC212068.4_FG005,2833,29,8,,,
AC212112.4_FG002,4213,6,1,,,
AC212186.3_FG011,0,2,0,,,
AC212187.4_FG001,4215,0,0,,,
AC212219.3_FG005,7,0,354,,,
AC212347.3_FG002,3956,0,0,,,
AC212351.4_FG001,1,0,0,,,
AC212353.4_FG004,790,0,0,,,
AC212565.3_FG001,5,1,2,,,
AC212570.3_FG006,3,3,10,,,
AC212575.3_FG002,2964,0,0,,,
AC212684.3_FG012,2966,0,0,,,
AC212728.3_FG001,2592,0,7,,,
AC212754.3_FG004,733,0,0,,,
AC212755.4_FG001,1221,0,391,,,
AC212755.4_FG002,240,0,391,,,
AC212835.3_FG001,2968,0,0,,,
AC212835.3_FG002,108,0,2,,,
AC212835.3_FG004,0,0,2,,,
AC212835.3_FG007,0,29,432,,,
AC212835.3_FG008,4892,0,0,,,
AC212859.3_FG007,1,0,1,,,
AC212859.3_FG008,4854,0,0,,,
AC212898.2_FG006,0,97,0,,,
AC213050.3_FG001,1901,0,0,,,
AC213050.3_FG002,1104,0,0,,,
AC213099.3_FG001,2976,708,433,,,
AC213099.3_FG002,1558,115,0,,,
AC213432.2_FG004,237,0,0,,,
AC213455.3_FG008,456,0,0,,,
AC213463.3_FG002,1929,0,0,,,
AC213463.3_FG004,4,38,0,,,
AC213463.3_FG006,536,0,0,,,
AC213463.3_FG007,45,478,0,,,
AC213463.3_FG009,94,0,0,,,
AC213521.3_FG005,2980,2,30,,,
AC213600.3_FG002,2981,0,757,,,
AC213612.3_FG001,0,0,758,,,
AC213612.3_FG002,15,0,0,,,
AC213621.5_FG002,2982,0,0,,,
AC213621.5_FG004,5,721,2,,,
AC213654.3_FG001,1,728,759,,,
AC213654.3_FG003,5,0,11,,,
AC213654.3_FG005,4904,0,0,,,
AC213769.3_FG001,630,0,0,,,
AC213857.4_FG003,81,0,0,,,
AC213884.3_FG001,3,729,18,,,
AC213884.3_FG002,467,0,0,,,
AC214040.3_FG009,14,0,0,,,
AC214046.4_FG005,798,0,4,,,
AC214119.3_FG009,187,3,610,,,
AC214146.3_FG007,4227,0,0,,,
AC214266.3_FG002,125,6,1,,,
AC214267.3_FG004,2992,0,0,,,
AC214360.3_FG001,708,0,8,,,
AC214448.3_FG007,2801,481,66,,,
AC214507.3_FG001,1226,155,762,,,
AC214524.3_FG002,1596,0,0,,,
AC214534.3_FG010,912,0,0,,,
AC214602.3_FG012,1110,270,0,,,
AC214635.3_FG002,1,731,9,,,
AC214635.3_FG006,7,0,8,,,
AC214640.3_FG003,3,0,0,,,
AC214648.3_FG003,84,0,0,,,
