Phospho_Root_Tissues	Phospho_Root_Meristem	Phospho_Root_Meristem_Elong	Phospho_Root_Meristem_Elong_2	Phospho_Root_Cortex	Phospho_Root_Cortex_Silk	Phospho_Root_Cortex_&_Silk	Phospho_Multiple_7	Phospho_Multiple_6	Phospho_Multiple_5	Phospho_Multiple_1	Phospho_Mature_Pollen	Phospho_Mature_Leaf	Phospho_Leaf_Zone_3	Phospho_Leaf_Zone_3_&_Embryo_20	Phospho_Internodes	"Phospho_Internode,Silk,Pr.Root"	Phospho_Germinating_Kernals	Phospho_Endosperm_Crown	Phospho_Endosperm_12_DAP	Phospho_EndoCrown_&_PericapAl	Phospho_Embryo_20_DAP	"Phospho_EarPrim,Leaf1-3Embr20"	Phospho_Dividing_Meristematic	RNA_Silk	RNA_Silk_&_Famale_Spiklet	RNA_Root_Tissues	RNA_Root_Meristem	RNA_Root_Meristem_Elongation	RNA_Root_Cortex	RNA_Root_Cortex_2	RNA_Pericarp_Aleurone	RNA_Multiple_Dividing_Tissues	RNA_Multiple_4	RNA_Mature_Pollen	RNA_Mature_Leaf_8	RNA_Internodes_&_Veg.Meristem	RNA_Germinating_Kernals	RNA_Germinating_Kernals_2	RNA_FemaleSpikIt_&_VegMeristem	RNA_Female_Spikelet_&_Internode	RNA_Endosperm_12_DAP	RNA_EndoCrown_&_PericarpAl	RNA_Embryo	RNA_Embryo_20_DAP	RNA_Embryo_Ear_Primordia	RNA_Ear_Primordia	"RNA_EarPrim,Leaf1-3,Embr20"	Protein_Dividing_Meristematic	Protein_EndoCrown&PericarpAl	Protein_Germinating_Kernals	Protein_Internodes_2	Protein_Internodes	Protein_Leaf_Zone_3	Protein_Mature_Leaf_8	Protein_Mature_Pollen	Protein_Multiple_1	Protein_Multiple_2	Protein_Multiple_3	Protein_Pericarp_Aleurone	Protein_PrimaryRoot&RootCortex	Protein_Root_Cortex_Silk	Protein_Root_Cortex	Protein_Root_Meristem	Protein_Root_Tissues	Protein_Young_Seed_(En&Em)
																														GRMZM2G009117																	GRMZM2G015902	GRMZM2G141707																	
																														GRMZM2G119894																	GRMZM2G588502	GRMZM2G141756																	
																														GRMZM2G527625																	GRMZM2G173868	GRMZM2G141760																	
																														GRMZM2G371033																	GRMZM2G119745	GRMZM2G141784																	
																														GRMZM2G305362																	GRMZM2G041732	GRMZM2G141804																	
																														GRMZM2G125266																	AC218998.2_FG007	GRMZM2G141818																	
																														GRMZM2G125653																	GRMZM2G123008	GRMZM2G141903																	
																														GRMZM2G312736																	GRMZM2G043489	GRMZM2G141911																	
																														GRMZM2G081239																	GRMZM2G410479	GRMZM2G142019																	
																														AC214146.3_FG007																	GRMZM2G022383	GRMZM2G142072																	
																														GRMZM2G312827																	GRMZM2G093239	GRMZM2G142088																	
																														GRMZM2G172297																	GRMZM2G527891	GRMZM2G142111																	
																														GRMZM5G806638																	GRMZM2G470048	GRMZM2G142119																	
																														GRMZM2G466667																	GRMZM2G451231	GRMZM2G142168																	
																														GRMZM2G080724																	GRMZM2G128074	GRMZM2G142209																	
																														GRMZM5G840225																	GRMZM2G076303	GRMZM2G142266																	
																														GRMZM2G007060																	GRMZM2G353095	GRMZM2G142334																	
																														GRMZM2G057173																	AC202086.2_FG001	GRMZM2G142363																	
																														GRMZM2G154987																	GRMZM2G578251	GRMZM2G142383																	
																														GRMZM5G836746																	GRMZM2G108416	GRMZM2G142437																	
																														GRMZM2G090928																	GRMZM2G054378	GRMZM2G142443																	
																														AC165171.2_FG002																	GRMZM2G468799	GRMZM2G142456																	
																														GRMZM2G178886																	GRMZM5G817285	GRMZM2G142557																	
																														GRMZM2G020740																	GRMZM2G152007	GRMZM2G142597																	
																														GRMZM2G081214																	GRMZM5G859743	GRMZM2G142620																	
																														GRMZM2G509537																	GRMZM2G000937	GRMZM2G142712																	
																														GRMZM2G177104																	GRMZM2G153722	GRMZM2G142757																	
																														GRMZM2G099413																	GRMZM2G000896	GRMZM2G142806																	
																														GRMZM2G172098																	GRMZM2G043456	GRMZM2G142873																	
																														GRMZM5G887716																	GRMZM2G015436	GRMZM2G143029																	
																														GRMZM2G044775																	GRMZM2G558890	GRMZM2G143071																	
																														GRMZM2G134113																	GRMZM2G126106	GRMZM2G143160																	
																														AC194852.3_FG010																	GRMZM2G458856	GRMZM2G143168																	
																														GRMZM2G066165																	GRMZM2G180654	GRMZM2G143173																	
																														GRMZM5G881902																	GRMZM2G006069	GRMZM2G143205																	
																														GRMZM2G104141																	GRMZM2G339848	GRMZM2G143213																	
																														GRMZM2G075563																	GRMZM2G379286	GRMZM2G143234																	
																														GRMZM2G158240																	GRMZM2G308083	GRMZM2G143246																	
																														GRMZM2G140924																	AC225361.3_FG001	GRMZM2G143253																	
																														GRMZM5G824731																	AC184169.3_FG001	GRMZM2G143357																	
																														GRMZM2G365754																	GRMZM2G141332	GRMZM2G143402																	
																														GRMZM2G324903																	GRMZM2G046528	GRMZM2G143462																	
																														GRMZM5G897802																	GRMZM2G415334	GRMZM2G143480																	
																														GRMZM5G881398																	GRMZM5G834469	GRMZM2G143499																	
																														GRMZM2G025890																	GRMZM2G158901	GRMZM2G143568																	
																														GRMZM2G095798																	GRMZM2G081148	GRMZM2G143588																	
																														GRMZM5G869299																	GRMZM2G023279	GRMZM2G143591																	
																														GRMZM5G832233																	GRMZM5G803237	GRMZM2G143602																	
																														GRMZM2G129843																	GRMZM2G701297	GRMZM2G143625																	
																														GRMZM2G003514																	GRMZM2G079080	GRMZM2G143627																	
																														GRMZM2G165387																	GRMZM2G012220	GRMZM2G143651																	
																														GRMZM5G836291																	GRMZM2G048243	GRMZM2G143655																	
																														GRMZM2G171581																	GRMZM2G469551	GRMZM2G143714																	
																														GRMZM2G087146																	GRMZM2G361501	GRMZM2G143782																	
																														GRMZM5G862257																	GRMZM2G052474	GRMZM2G143788																	
																														GRMZM5G838937																	GRMZM2G056075	GRMZM2G143854																	
																														GRMZM2G333142																	AC202181.3_FG010	GRMZM2G143878																	
																														GRMZM2G120987																	GRMZM2G053047	GRMZM2G143883																	
																														GRMZM2G149869																	GRMZM2G361391	GRMZM2G143886																	
																														GRMZM2G027016																	GRMZM2G070899	GRMZM2G144146																	
																														GRMZM2G091621																	GRMZM2G004412	GRMZM2G144166																	
																														GRMZM2G055101																	GRMZM2G149747	GRMZM2G144204																	
																														GRMZM2G003821																	GRMZM2G109651	GRMZM2G144362																	
																														GRMZM2G550537																	GRMZM2G557255	GRMZM2G144372																	
																														GRMZM2G164715																	GRMZM2G171824	GRMZM2G144387																	
																														GRMZM2G090487																	GRMZM2G088539	GRMZM2G144645																	
																														GRMZM2G037912																	GRMZM5G817689	GRMZM2G144653																	
																														GRMZM2G486105																	GRMZM2G115825	GRMZM2G144730																	
																														GRMZM2G096403																	GRMZM2G021233	GRMZM2G144739																	
																														GRMZM5G800488																	GRMZM2G034947	GRMZM2G144744																	
																														GRMZM2G422443																	GRMZM2G123503	GRMZM2G144873																	
																														GRMZM2G016346																	GRMZM2G083755	GRMZM2G144971																	
																														GRMZM2G108422																	GRMZM2G117346	GRMZM2G144985																	
																														GRMZM2G058900																	GRMZM2G060919	GRMZM2G145024																	
																														GRMZM2G703561																	GRMZM5G803915	GRMZM2G145063																	
																														GRMZM2G557158																	GRMZM2G478558	GRMZM2G145112																	
																														GRMZM2G102959																	GRMZM2G091939	GRMZM2G145152																	
																														GRMZM2G306679																	GRMZM2G032214	GRMZM2G145201																	
																														GRMZM5G874897																	GRMZM2G052670	GRMZM2G145213																	
																														GRMZM2G324999																	GRMZM2G034639	GRMZM2G145226																	
																														GRMZM2G055684																	GRMZM2G146794	GRMZM2G145232																	
																														GRMZM2G170148																	GRMZM2G124603	GRMZM2G145280																	
																														GRMZM2G014212																	GRMZM2G110587	GRMZM2G145300																	
																														GRMZM2G158415																	GRMZM2G078252	GRMZM2G145346																	
																														GRMZM2G170766																	GRMZM2G070075	GRMZM2G145360																	
																														GRMZM2G170309																	GRMZM2G155512	GRMZM2G145473																	
																														AC210163.3_FG005																	GRMZM5G806309	GRMZM2G145594																	
																														GRMZM2G161313																	GRMZM2G380777	GRMZM2G145595																	
																														GRMZM2G061685																	GRMZM2G145300	GRMZM2G145633																	
																														GRMZM2G321053																	GRMZM2G101217	GRMZM2G145666																	
																														GRMZM2G053627																	GRMZM2G064118	GRMZM2G145690																	
																														GRMZM2G166337																	GRMZM2G135866	GRMZM2G145709																	
																														AC232238.2_FG004																	GRMZM2G054210	GRMZM2G145715																	
																														GRMZM2G584215																	GRMZM2G016602	GRMZM2G145718																	
																														GRMZM2G373914																	GRMZM2G009353	GRMZM2G145725																	
																														GRMZM5G802971																	GRMZM2G160336	GRMZM2G145752																	
																														GRMZM2G064083																	GRMZM2G104676	GRMZM2G145753																	
																														GRMZM2G113995																	GRMZM2G055785	GRMZM2G145756																	
																														GRMZM2G532052																	GRMZM2G124171	GRMZM2G145775																	
																														GRMZM2G044377																	GRMZM2G150813	GRMZM2G145827																	
																														GRMZM2G404274																	GRMZM2G077279	GRMZM2G145870																	
																														GRMZM2G576477																	GRMZM2G087817	GRMZM2G145935																	
																														AC216871.3_FG001																	AC234203.1_FG009	GRMZM2G145951																	
																														GRMZM2G042902																	GRMZM2G087619	GRMZM2G145965																	
																														GRMZM5G813651																	GRMZM2G101181	GRMZM2G145968																	
																														GRMZM2G090563																	GRMZM2G033592	GRMZM2G146012																	
																														GRMZM2G351482																	GRMZM2G178758	GRMZM2G146020																	
																														GRMZM2G458448																	GRMZM2G057906	GRMZM2G146047																	
																														GRMZM2G046669																	GRMZM2G127632	GRMZM2G146111																	
																														AC233901.1_FG005																	GRMZM2G066454	GRMZM2G146118																	
																														GRMZM2G067654																	GRMZM2G416684	GRMZM2G146143																	
																														GRMZM2G142999																	GRMZM2G080497	GRMZM2G146190																	
																														GRMZM2G086269																	GRMZM2G520903	GRMZM2G146192																	
																														GRMZM2G133731																	GRMZM2G352431	GRMZM2G146225																	
																														GRMZM2G413829																	GRMZM2G477694	GRMZM2G146240																	
																														GRMZM2G084984																	GRMZM2G109725	GRMZM2G146267																	
																														GRMZM2G402862																	GRMZM2G425986	GRMZM2G146280																	
																														GRMZM2G053574																	GRMZM2G140082	GRMZM2G146286																	
																														GRMZM2G135387																	GRMZM2G570528	GRMZM2G146292																	
																														GRMZM2G081285																	GRMZM2G077490	GRMZM2G146463																	
																														GRMZM2G053252																	GRMZM2G080314	GRMZM2G146472																	
																														GRMZM2G013214																	GRMZM2G449569	GRMZM2G146486																	
																														GRMZM2G397754																	GRMZM2G130910	GRMZM2G146616																	
																														GRMZM2G462635																	GRMZM2G123482	GRMZM2G146670																	
																														AC197047.3_FG001																	GRMZM2G014346	GRMZM2G146750																	
																														GRMZM2G068745																	GRMZM2G423956	GRMZM2G146786																	
																														GRMZM2G098377																	GRMZM2G093598	GRMZM2G146862																	
																														AC182482.3_FG003																	GRMZM2G049382	GRMZM2G147026																	
																														GRMZM2G042754																	GRMZM2G079796	GRMZM2G147051																	
																														GRMZM2G091166																	GRMZM2G076911	GRMZM2G147145																	
																														GRMZM2G171571																	GRMZM2G049759	GRMZM2G147213																	
																														GRMZM2G104618																	GRMZM2G330436	GRMZM2G147221																	
																														GRMZM2G439246																	AC155434.2_FG004	GRMZM2G147288																	
																														GRMZM2G356439																	GRMZM2G053311	GRMZM2G147335																	
																														GRMZM2G165177																	GRMZM2G401267	GRMZM2G147420																	
																														GRMZM2G148567																	GRMZM2G080174	GRMZM2G147422																	
																														AC209328.3_FG001																	GRMZM2G167283	GRMZM2G147500																	
																														GRMZM2G132154																	GRMZM2G453485	GRMZM2G147587																	
																														GRMZM2G343916																	GRMZM5G836588	GRMZM2G147603																	
																														GRMZM2G476637																	GRMZM2G348675	GRMZM2G147614																	
																														AC230011.2_FG002																	GRMZM2G467717	GRMZM2G147619																	
																														GRMZM2G366688																	GRMZM5G888196	GRMZM2G147714																	
																														GRMZM2G578489																	AC204530.4_FG002	GRMZM2G147716																	
																														GRMZM5G811318																	GRMZM2G071612	GRMZM2G147727																	
																														GRMZM2G017557																	GRMZM2G049088	GRMZM2G147756																	
																														GRMZM2G132450																	GRMZM2G075582	GRMZM2G147811																	
																														GRMZM2G403353																	GRMZM2G449177	GRMZM2G147856																	
																														GRMZM2G154221																	GRMZM2G075321	GRMZM2G147884																	
																														AC195147.3_FG008																	GRMZM2G420163	GRMZM2G147942																	
																														GRMZM2G021587																	GRMZM2G155312	GRMZM2G148106																	
																														GRMZM2G134277																	GRMZM5G886709	GRMZM2G148118																	
																														GRMZM2G437683																	GRMZM2G167010	GRMZM2G148130																	
																														GRMZM2G124477																	GRMZM2G170434	GRMZM2G148176																	
																														GRMZM5G813036																	GRMZM2G157580	GRMZM2G148194																	
																														AC207656.3_FG002																	GRMZM2G155565	GRMZM2G148211																	
																														GRMZM2G142728																	GRMZM2G133952	GRMZM2G148213																	
																														GRMZM5G832114																	GRMZM2G019621	GRMZM2G148249																	
																														GRMZM2G113888																	GRMZM2G165173	GRMZM2G148281																	
																														GRMZM2G526706																	GRMZM2G057623	GRMZM2G148301																	
																														GRMZM2G351937																	GRMZM2G448692	GRMZM2G148370																	
																														GRMZM2G051185																	GRMZM2G150496	GRMZM2G148411																	
																														GRMZM2G348257																	GRMZM5G888106	GRMZM2G148518																	
																														GRMZM2G590797																	GRMZM2G306935	GRMZM2G148534																	
																														GRMZM2G161452																	GRMZM5G881023	GRMZM2G148555																	
																														GRMZM2G077914																	GRMZM2G173628	GRMZM2G148586																	
																														GRMZM5G843238																	GRMZM2G044819	GRMZM2G148633																	
																														GRMZM2G341410																	GRMZM2G081710	GRMZM2G148693																	
																														GRMZM2G448185																	GRMZM2G132936	GRMZM2G148702																	
																														GRMZM2G120779																	GRMZM2G354696	GRMZM2G148723																	
																														GRMZM2G575377																	GRMZM2G063262	GRMZM2G148727																	
																														GRMZM2G081774																	GRMZM2G157589	GRMZM2G148744																	
																														GRMZM2G110511																	GRMZM5G873675	GRMZM2G148769																	
																														GRMZM2G030877																	GRMZM5G804427	GRMZM2G148796																	
																														GRMZM2G126834																	AC226230.2_FG001	GRMZM2G148810																	
																														AC213041.3_FG003																	GRMZM2G031328	GRMZM2G148870																	
																														GRMZM2G148075																	GRMZM2G581052	GRMZM2G148881																	
																														GRMZM2G046994																	GRMZM2G105434	GRMZM2G148896																	
																														GRMZM2G042407																	GRMZM2G104254	GRMZM2G148924																	
																														GRMZM2G096690																	GRMZM2G132184	GRMZM2G148937																	
																														GRMZM2G162290																	GRMZM2G164835	GRMZM2G148962																	
																														GRMZM2G012546																	GRMZM2G138659	GRMZM2G149031																	
																														GRMZM5G878732																	AC155377.1_FG001	GRMZM2G149040																	
																														GRMZM2G059851																	GRMZM2G174830	GRMZM2G149060																	
																														AC205968.3_FG001																	GRMZM2G347808	GRMZM2G149108																	
																														GRMZM2G522106																	GRMZM2G480712	GRMZM2G149115																	
																														GRMZM2G479318																	GRMZM2G127115	GRMZM2G149138																	
																														GRMZM2G456960																	GRMZM2G104504	GRMZM2G149150																	
																														GRMZM2G173419																	GRMZM2G553195	GRMZM2G149153																	
																														GRMZM2G071087																	GRMZM2G065374	GRMZM2G149175																	
																														GRMZM2G145041																	GRMZM5G814939	GRMZM2G149272																	
																														GRMZM2G118104																	GRMZM2G356423	GRMZM2G149286																	
																														GRMZM2G454449																	GRMZM5G838910	GRMZM2G149321																	
																														GRMZM2G145816																	GRMZM2G005304	GRMZM2G149330																	
																														GRMZM2G060504																	GRMZM2G150762	GRMZM2G149414																	
																														GRMZM5G850205																	GRMZM2G081406	GRMZM2G149481																	
																														GRMZM2G168200																	GRMZM2G102322	GRMZM2G149543																	
																														GRMZM2G094792																	GRMZM2G333916	GRMZM2G149556																	
																														GRMZM2G009139																	GRMZM2G054468	GRMZM2G149619																	
																														GRMZM2G000154																	GRMZM2G082293	GRMZM2G149704																	
																														GRMZM2G703077																	GRMZM2G005365	GRMZM2G149708																	
																														GRMZM2G159547																	GRMZM5G857004	GRMZM2G149717																	
																														GRMZM2G144219																	GRMZM2G032759	GRMZM2G149786																	
																														GRMZM2G570945																	GRMZM2G058158	GRMZM2G149802																	
																														GRMZM2G549240																	GRMZM5G874840	GRMZM2G149843																	
																														GRMZM2G161827																	GRMZM2G062683	GRMZM2G149903																	
																														AC186902.4_FG001																	GRMZM2G019257	GRMZM2G149946																	
																														GRMZM2G164745																	GRMZM2G015503	GRMZM2G149952																	
																														GRMZM2G137118																	AC215857.3_FG006	GRMZM2G149958																	
																														GRMZM2G062458																	GRMZM2G087196	GRMZM2G149975																	
																														GRMZM2G156415																	GRMZM2G160725	GRMZM2G150004																	
																														GRMZM2G034407																	GRMZM2G088653	GRMZM2G150024																	
																														GRMZM2G464456																	GRMZM2G008862	GRMZM2G150160																	
																														GRMZM2G138814																	GRMZM2G158446	GRMZM2G150166																	
																														GRMZM2G318296																	GRMZM2G137286	GRMZM2G150169																	
																														AC202934.3_FG001																	GRMZM2G439049	GRMZM2G150200																	
																														GRMZM2G179800																	GRMZM5G854635	GRMZM2G150209																	
																														GRMZM2G178990																	GRMZM2G129444	GRMZM2G150212																	
																														GRMZM2G042356																	GRMZM5G836144	GRMZM2G150257																	
																														GRMZM2G140674																	GRMZM2G010551	GRMZM2G150262																	
																														GRMZM2G027120																	GRMZM5G864266	GRMZM2G150266																	
																														GRMZM5G833993																	GRMZM2G373717	GRMZM2G150319																	
																														GRMZM2G015143																	GRMZM2G097805	GRMZM2G150448																	
																														GRMZM2G150215																	GRMZM2G087482	GRMZM2G150471																	
																														GRMZM2G037591																	AC205033.4_FG004	GRMZM2G150484																	
																														GRMZM2G075002																	GRMZM2G005732	GRMZM2G150541																	
																														GRMZM5G869161																	GRMZM2G126446	GRMZM2G150598																	
																														GRMZM5G885744																	GRMZM5G824843	GRMZM2G150616																	
																														GRMZM2G165597																	GRMZM5G838671	GRMZM2G150648																	
																														GRMZM2G135651																	GRMZM2G063316	GRMZM2G150754																	
																														GRMZM2G086761																	GRMZM2G067373	GRMZM2G150806																	
																														AC184834.3_FG005																	GRMZM5G854007	GRMZM2G150827																	
																														GRMZM2G043464																	GRMZM2G360688	GRMZM2G150866																	
																														GRMZM2G032562																	GRMZM2G318956	GRMZM2G150912																	
																														GRMZM2G161293																	GRMZM5G898305	GRMZM2G150984																	
																														GRMZM2G119873																	GRMZM2G082260	GRMZM2G151015																	
																														GRMZM2G040803																	GRMZM2G173641	GRMZM2G151050																	
																														GRMZM2G049127																	GRMZM2G134284	GRMZM2G151177																	
																														GRMZM5G805732																	GRMZM2G064503	GRMZM2G151236																	
																														GRMZM5G839129																	GRMZM2G304638	GRMZM2G151237																	
																														GRMZM2G703153																	GRMZM2G100732	GRMZM2G151268																	
																														AC199067.2_FG004																	GRMZM5G894586	GRMZM2G151295																	
																														AC191360.3_FG004																	GRMZM2G001551	GRMZM2G151299																	
																														GRMZM2G127050																	GRMZM2G149093	GRMZM2G151387																	
																														GRMZM2G136139																	AC194970.5_FG004	GRMZM2G151414																	
																														GRMZM2G095811																	GRMZM2G302553	GRMZM2G151418																	
																														AC234160.1_FG008																	GRMZM2G125259	GRMZM2G151440																	
																														GRMZM2G092542																	GRMZM2G121520	GRMZM2G151536																	
																														GRMZM2G148078																	AC217962.3_FG005	GRMZM2G151580																	
																														GRMZM2G312769																	GRMZM2G362718	GRMZM2G151614																	
																														GRMZM5G884687																	GRMZM2G374574	GRMZM2G151616																	
																														GRMZM2G062724																	GRMZM2G005278	GRMZM2G151689																	
																														GRMZM2G112914																	GRMZM5G843186	GRMZM2G151700																	
																														GRMZM2G391164																	GRMZM5G834157	GRMZM2G151726																	
																														GRMZM2G111922																	GRMZM2G456023	GRMZM2G151734																	
																														GRMZM2G177617																	GRMZM5G815803	GRMZM2G151826																	
																														GRMZM5G812544																	GRMZM2G119248	GRMZM2G151873																	
																														GRMZM2G063917																	GRMZM2G014367	GRMZM2G151905																	
																														GRMZM2G176638																	GRMZM2G146786	GRMZM2G151923																	
																														GRMZM2G417945																	GRMZM2G509327	GRMZM2G151955																	
																														GRMZM2G103128																	GRMZM2G076276	GRMZM2G151967																	
																														GRMZM2G497015																	GRMZM2G318527	GRMZM2G151983																	
																														GRMZM2G379428																	GRMZM2G104045	GRMZM2G152007																	
																														GRMZM2G097277																	GRMZM2G056645	GRMZM2G152028																	
																														GRMZM2G166234																	GRMZM2G175661	GRMZM2G152105																	
																														GRMZM2G172596																	GRMZM5G839530	GRMZM2G152111																	
																														GRMZM2G034810																	GRMZM2G004023	GRMZM2G152127																	
																														GRMZM2G384661																	GRMZM2G583500	GRMZM2G152373																	
																														GRMZM2G072274																	GRMZM2G068331	GRMZM2G152526																	
																														GRMZM5G802024																	GRMZM2G153332	GRMZM2G152549																	
																														GRMZM2G060956																	GRMZM2G559074	GRMZM2G152599																	
																														GRMZM2G008765																	GRMZM2G305080	GRMZM2G152638																	
																														GRMZM2G032939																	GRMZM2G421541	GRMZM2G152663																	
																														AC233954.1_FG004																	GRMZM2G363408	GRMZM2G152686																	
																														GRMZM2G101952																	GRMZM5G886863	GRMZM2G152688																	
																														GRMZM2G300258																	GRMZM2G115133	GRMZM2G152768																	
																														GRMZM2G555865																	GRMZM2G084252	GRMZM2G152774																	
																														GRMZM2G092465																	GRMZM2G414460	GRMZM2G152775																	
																														GRMZM2G397684																	GRMZM2G334409	GRMZM2G152868																	
																														GRMZM2G068604																	GRMZM2G174246	GRMZM2G152877																	
																														GRMZM2G160074																	GRMZM2G105652	GRMZM2G152889																	
																														GRMZM2G490480																	GRMZM2G058441	GRMZM2G152891																	
																														GRMZM2G010494																	GRMZM2G180716	GRMZM2G152908																	
																														GRMZM2G084885																	GRMZM2G075851	GRMZM2G152921																	
																														GRMZM2G058744																	GRMZM2G312974	GRMZM2G153068																	
																														GRMZM5G878490																	GRMZM2G143878	GRMZM2G153162																	
																														GRMZM2G121070																	AC207756.3_FG001	GRMZM2G153178																	
																														GRMZM5G877113																	GRMZM2G494935	GRMZM2G153227																	
																														GRMZM2G016886																	GRMZM2G406553	GRMZM2G153250																	
																														AC204842.3_FG004																	GRMZM2G377369	GRMZM2G153274																	
																														GRMZM2G045318																	GRMZM2G405804	GRMZM2G153292																	
																														GRMZM2G361842																	GRMZM2G051050	GRMZM2G153351																	
																														GRMZM2G100931																	GRMZM2G331274	GRMZM2G153450																	
																														GRMZM2G011806																	GRMZM2G450055	GRMZM2G153541																	
																														AC187560.5_FG003																	GRMZM2G136513	GRMZM2G153594																	
																														GRMZM2G072462																	GRMZM2G028139	GRMZM2G153675																	
																														GRMZM2G450044																	GRMZM2G111136	GRMZM2G153683																	
																														GRMZM2G045398																	GRMZM2G370920	GRMZM2G153722																	
																														GRMZM2G061303																	GRMZM5G859877	GRMZM2G153754																	
																														GRMZM2G018148																	GRMZM2G074438	GRMZM2G153766																	
																														GRMZM2G172396																	GRMZM2G408012	GRMZM2G153769																	
																														GRMZM2G483490																	GRMZM5G856076	GRMZM2G153792																	
																														GRMZM2G050201																	GRMZM2G002115	GRMZM2G153797																	
																														GRMZM5G884979																	GRMZM2G033619	GRMZM2G153815																	
																														GRMZM5G807276																	GRMZM2G103345	GRMZM2G153891																	
																														GRMZM2G035821																	GRMZM2G053514	GRMZM2G153924																	
																														GRMZM2G337128																	GRMZM5G862623	GRMZM2G153969																	
																														GRMZM2G425072																	GRMZM2G424873	GRMZM2G153984																	
																														GRMZM2G324767																	GRMZM2G080775	GRMZM2G154010																	
																														GRMZM5G846057																	GRMZM5G893971	GRMZM2G154119																	
																														GRMZM2G022363																	GRMZM2G071319	GRMZM2G154151																	
																														GRMZM2G028677																	GRMZM2G329532	GRMZM2G154165																	
																														GRMZM2G569202																	GRMZM5G805138	GRMZM2G154169																	
																														GRMZM2G087259																	GRMZM2G132556	GRMZM2G154218																	
																														AC206519.2_FG001																	GRMZM5G896916	GRMZM2G154223																	
																														GRMZM2G000483																	GRMZM2G095905	GRMZM2G154229																	
																														GRMZM2G045941																	GRMZM2G015289	GRMZM2G154267																	
																														GRMZM2G136266																	GRMZM2G462623	GRMZM2G154278																	
																														GRMZM2G088312																	GRMZM2G393594	GRMZM2G154301																	
																														GRMZM2G154090																	GRMZM2G106028	GRMZM2G154312																	
																														GRMZM2G138255																	GRMZM2G103684	GRMZM2G154316																	
																														GRMZM2G005652																	GRMZM2G114315	GRMZM2G154366																	
																														GRMZM2G062260																	GRMZM2G039505	GRMZM2G154523																	
																														GRMZM2G100495																	GRMZM2G399207	GRMZM2G154574																	
																														GRMZM2G168858																	GRMZM2G030024	GRMZM2G154621																	
																														GRMZM2G087192																	GRMZM2G443416	GRMZM2G154641																	
																														GRMZM2G049623																	GRMZM5G872711	GRMZM2G154716																	
																														GRMZM2G134604																	AC199914.4_FG002	GRMZM2G154799																	
																														GRMZM2G447791																	GRMZM2G052908	GRMZM2G154839																	
																														GRMZM2G145061																	GRMZM5G815165	GRMZM2G154890																	
																														AC196710.3_FG013																	AC210529.3_FG004	GRMZM2G154892																	
																														GRMZM2G028731																	GRMZM2G045236	GRMZM2G154946																	
																														AC233882.1_FG003																	GRMZM2G165617	GRMZM2G155096																	
																														GRMZM2G416913																	GRMZM2G371210	GRMZM2G155123																	
																														GRMZM2G092571																	GRMZM2G061578	GRMZM2G155242																	
																														AC229993.1_FG006																	GRMZM2G534293	GRMZM2G155252																	
																														GRMZM2G176834																	GRMZM2G055578	GRMZM2G155281																	
																														GRMZM2G148460																	GRMZM2G057037	GRMZM2G155314																	
																														GRMZM2G390641																	GRMZM2G022841	GRMZM2G155323																	
																														GRMZM2G179792																	GRMZM2G005103	GRMZM2G155329																	
																														AC233883.1_FG006																	GRMZM2G375172	GRMZM2G155437																	
																														GRMZM2G064466																	GRMZM5G881605	GRMZM2G155502																	
																														GRMZM5G886257																	GRMZM2G092668	GRMZM2G155532																	
																														GRMZM2G399383																	GRMZM2G181354	GRMZM2G155543																	
																														GRMZM2G072939																	GRMZM2G028784	GRMZM2G155546																	
																														GRMZM2G583422																	GRMZM2G030528	GRMZM2G155580																	
																														GRMZM5G823157																	GRMZM2G112679	GRMZM2G155593																	
																														GRMZM2G050768																	GRMZM2G148940	GRMZM2G155626																	
																														GRMZM5G888860																	GRMZM2G111319	GRMZM2G155662																	
																														GRMZM2G176605																	GRMZM2G088737	GRMZM2G155776																	
																														GRMZM2G142374																	GRMZM2G027735	GRMZM2G155889																	
																														GRMZM2G331701																	GRMZM2G062524	GRMZM2G155935																	
																														GRMZM2G574713																	GRMZM2G020805	GRMZM2G155943																	
																														GRMZM2G441612																	GRMZM2G032447	GRMZM2G155949																	
																														AC209050.3_FG003																	AC215238.3_FG002	GRMZM2G155954																	
																														GRMZM2G156713																	GRMZM2G119273	GRMZM2G155974																	
																														GRMZM5G889064																	GRMZM2G320399	GRMZM2G155980																	
																														GRMZM2G121715																	GRMZM2G511318	GRMZM2G155991																	
																														GRMZM2G076417																	GRMZM2G078379	GRMZM2G156068																	
																														GRMZM2G063126																	GRMZM2G088261	GRMZM2G156069																	
																														GRMZM2G101499																	GRMZM2G037280	GRMZM2G156099																	
																														GRMZM2G012404																	GRMZM2G143714	GRMZM2G156121																	
																														GRMZM2G163776																	GRMZM2G115304	GRMZM2G156145																	
																														GRMZM2G093908																	GRMZM2G028335	GRMZM2G156174																	
																														GRMZM2G005000																	GRMZM2G160801	GRMZM2G156251																	
																														GRMZM2G176519																	GRMZM2G356609	GRMZM2G156320																	
																														GRMZM2G094955																	GRMZM2G036902	GRMZM2G156415																	
																														GRMZM2G325561																	GRMZM2G030805	GRMZM2G156459																	
																														GRMZM2G131245																	GRMZM2G432335	GRMZM2G156476																	
																														GRMZM2G321969																	GRMZM2G172021	GRMZM2G156606																	
