"v3_gene_model","v4_gene_model",,,
"AC155434.2_FG004","Zm00001d022527",,,
"AC155434.2_FG005","Zm00001d022526",,,
"AC155434.2_FG006","Zm00001d022525",,,
"AC155434.2_FG008",,,,
"AC155496.2_FG009","Zm00001d013116",,,
"AC155610.2_FG006",,,,
"AC155610.2_FG007","Zm00001d042723",,,
"AC155610.2_FG009","Zm00001d042725",,,
"AC155622.2_FG001","Zm00001d039411",,,
"AC155622.2_FG004","Zm00001d039411",,,
"AC155624.2_FG006","Zm00001d027570",,,
"AC155624.2_FG008",,,,
"AC155624.2_FG011","Zm00001d027573",,,
"AC155624.2_FG012",,,,
"AC159612.1_FG007","Zm00001d013097",,,
"AC165171.2_FG002","Zm00001d041958",,,
"AC165178.2_FG001",,,,
"AC165178.2_FG002",,,,
"AC165178.2_FG003",,,,
"AC165178.2_FG004","Zm00001d005760",,,
"AC166636.1_FG007","Zm00001d028011",,,
"AC166636.1_FG008","Zm00001d028012",,,
"AC166636.1_FG009","Zm00001d028013",,,
"AC177814.3_FG004",,,,
"AC177815.2_FG001",,,,
"AC177815.2_FG003",,,,
"AC177816.2_FG001",,,,
"AC177816.2_FG002",,,,
"AC177819.2_FG005",,,,
"AC177820.3_FG003",,,,
"AC177820.3_FG005",,,,
"AC177820.3_FG007",,,,
"AC177820.3_FG009",,,,
"AC177821.2_FG002",,,,
"AC177821.2_FG003",,,,
"AC177821.2_FG005",,,,
"AC177824.2_FG003",,,,
"AC177830.3_FG001",,,,
"AC177831.3_FG003",,,,
"AC177831.3_FG004","Zm00001d003635",,,
"AC177833.2_FG001","Zm00001d004454",,,
"AC177837.3_FG002","Zm00001d028099",,,
"AC177837.3_FG007",,,,
"AC177837.3_FG012",,,,
"AC177838.2_FG002",,,,
"AC177838.2_FG009",,,,
"AC177838.2_FG012",,,,
"AC177838.2_FG013",,,,
"AC177838.2_FG015","Zm00001d027243",,,
"AC177838.2_FG017",,,,
"AC177838.2_FG018",,,,
"AC177840.3_FG003",,,,
"AC177840.3_FG005",,,,
"AC177844.2_FG003",,,,
"AC177845.2_FG001",,,,
"AC177846.2_FG001",,,,
"AC177846.2_FG002",,,,
"AC177847.2_FG001",,,,
"AC177848.3_FG001",,,,
"AC177849.3_FG001",,,,
"AC177849.3_FG004",,,,
"AC177850.2_FG003","Zm00001d027964",,,
"AC177850.2_FG005","Zm00001d027967",,,
"AC177850.2_FG006",,,,
"AC177852.2_FG003",,,,
"AC177854.5_FG003",,,,
"AC177859.4_FG006",,,,
"AC177859.4_FG010",,,,
"AC177860.4_FG002","Zm00001d005540",,,
"AC177860.4_FG007",,,,
"AC177860.4_FG009",,,,
"AC177861.2_FG005",,,,
"AC177862.3_FG002",,,,
"AC177863.3_FG001",,,,
"AC177863.3_FG013",,,,
"AC177863.3_FG014",,,,
"AC177864.5_FG011",,,,
"AC177867.2_FG001",,,,
"AC177868.3_FG005",,,,
"AC177869.3_FG007",,,,
"AC177871.2_FG004",,,,
"AC177873.3_FG003",,,,
"AC177875.2_FG005",,,,
"AC177878.4_FG001",,,,
"AC177878.4_FG002",,,,
"AC177882.3_FG005",,,,
"AC177882.3_FG006",,,,
"AC177883.2_FG003",,,,
"AC177883.2_FG005",,,,
"AC177883.2_FG009",,,,
"AC177884.3_FG008",,,,
"AC177886.2_FG001",,,,
"AC177886.2_FG004",,,,
"AC177887.2_FG005",,,,
"AC177888.2_FG002",,,,
"AC177889.2_FG004",,,,
"AC177889.2_FG006",,,,
"AC177890.3_FG005",,,,
"AC177892.2_FG003",,,,
"AC177892.2_FG004",,,,
"AC177893.3_FG003","Zm00001d006850",,,
"AC177893.3_FG004",,,,
"AC177893.3_FG005",,,,
"AC177893.3_FG006","Zm00001d006849",,,
"AC177897.2_FG002","Zm00001d033503",,,
"AC177897.2_FG020",,,,
"AC177897.2_FG021",,,,
"AC177897.2_FG022","Zm00001d018696",,,
"AC177897.2_FG025",,,,
"AC177897.2_FG029","Zm00001d020864",,,
"AC177897.2_FG036",,,,
"AC177897.2_FG039",,,,
"AC177899.2_FG008",,,,
"AC177899.2_FG009","Zm00001d034933",,,
"AC177899.2_FG012","Zm00001d034930",,,
"AC177900.4_FG001",,,,
"AC177901.3_FG002",,,,
"AC177901.3_FG004",,,,
"AC177902.2_FG003",,,,
"AC177903.4_FG002",,,,
"AC177904.2_FG007",,,,
"AC177905.2_FG001",,,,
"AC177905.2_FG003","Zm00001d030261",,,
"AC177905.2_FG004",,,,
"AC177905.2_FG007",,,,
"AC177907.4_FG006",,,,
"AC177908.3_FG001",,,,
"AC177908.3_FG002","Zm00001d029516",,,
"AC177908.3_FG003","Zm00001d029514",,,
"AC177908.3_FG006","Zm00001d029513",,,
"AC177909.3_FG007",,,,
"AC177910.2_FG004",,,,
"AC177911.4_FG005",,,,
"AC177913.4_FG002",,,,
"AC177913.4_FG005",,,,
"AC177914.2_FG004",,,,
"AC177915.2_FG022",,,,
"AC177916.3_FG003",,,,
"AC177917.1_FG005",,,,
"AC177919.3_FG004",,,,
"AC177920.3_FG008",,,,
"AC177921.2_FG003",,,,
"AC177922.2_FG001",,,,
"AC177922.2_FG002",,,,
"AC177922.2_FG003",,,,
